filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,0,0,screw_type2_black,307,767,701,1398
10.jpg,0,0,screw_type1_silver,923,1,1331,733
11.jpg,0,0,outterhole,316,570,669,923
12.jpg,0,0,outterhole,360,527,685,889
13.jpg,0,0,screw_type1_silver,909,167,1143,793
14.jpg,0,0,screw_type1_silver,903,171,1121,773
15.jpg,0,0,WoodenBox_withscrews,171,165,1615,819
16.jpg,0,0,screw_type1_black,260,686,644,1248
17.jpg,0,0,screw_type1_silver,419,317,1199,657
18.jpg,0,0,WoodenBox_withscrews,239,231,1605,861
19.jpg,0,0,screw_type1_black,316,692,713,1258
2.jpg,0,0,screw_type2_black,313,592,772,1320
20.jpg,0,0,screw_type2_silver,254,852,541,1539
21.jpg,0,0,WoodenBox_withscrews,305,331,1689,963
22.jpg,0,0,screw_type1_black,426,780,804,1308
23.jpg,0,0,WoodenBox_withscrews,255,302,1878,1062
24.jpg,0,0,screw_type1_black,351,755,726,1277
25.jpg,0,0,outterhole,398,423,866,914
25.jpg,0,0,inner_hole,426,573,635,798
26.jpg,0,0,outterhole,326,502,819,1008
26.jpg,0,0,inner_hole,373,620,585,842
27.jpg,0,0,outterhole,323,511,873,1086
27.jpg,0,0,inner_hole,404,548,669,811
28.jpg,0,0,screw_type1_black,279,864,585,1292
29.jpg,0,0,screw_type2_silver,332,270,754,1127
3.jpg,0,0,screw_type2_black,179,645,598,1502
30.jpg,0,0,screw_type1_silver,687,490,1371,810
31.jpg,0,0,WoodenBox_withscrews,445,236,1752,876
32.jpg,0,0,inner_hole,441,498,613,686
32.jpg,0,0,outterhole,394,442,710,767
33.jpg,0,0,screw_type1_black,329,686,648,1214
34.jpg,0,0,outterhole,223,495,644,911
34.jpg,0,0,inner_hole,307,530,529,773
35.jpg,0,0,outterhole,301,442,760,870
35.jpg,0,0,inner_hole,376,502,610,739
36.jpg,0,0,screw_type1_silver,1040,79,1716,733
37.jpg,0,0,screw_type1_black,260,636,529,1186
39.jpg,0,0,screw_type2_silver,382,817,1066,1305
4.jpg,0,0,screw_type2_black,76,452,848,1055
40.jpg,0,0,WoodenBox_withscrews,314,167,1671,910
41.jpg,0,0,screw_type1_black,435,620,626,1114
42.jpg,0,0,screw_type2_silver,357,1008,710,1720
43.jpg,0,0,screw_type1_black,351,448,676,1245
44.jpg,0,0,screw_type2_silver,73,1117,838,1495
45.jpg,0,0,screw_type1_black,10,542,841,1311
46.jpg,0,0,screw_type2_silver,363,852,969,1405
47.jpg,0,0,screw_type2_silver,191,808,923,1123
48.jpg,0,0,screw_type1_black,185,8,760,820
49.jpg,0,0,WoodenBox_withscrews,349,1,1754,802
5.jpg,0,0,screw_type2_black,48,533,904,970
50.jpg,0,0,screw_type2_silver,66,889,626,1242
51.jpg,0,0,screw_type1_black,166,698,782,986
6.jpg,0,0,screw_type2_black,291,205,576,792
7.jpg,0,0,inner_hole,298,473,588,773
8.jpg,0,0,screw_type1_silver,842,36,1052,590
9.jpg,0,0,outterhole,285,452,698,889
